Material_ID,Category,Grade,Form,Specification,Description,Tensile_Strength_MPa,Yield_Strength_MPa,Elongation_Percent,Hardness_HB,Size_Dimensions,Quantity,Unit,Unit_Price_USD,Supplier,Buyer,WO_Number,MR_Number,PR_Number,RFQ_Number,Order_Date,Delivery_Date,Status,Heat_Number,MTC_Number,Inspection_Required,PMI_Required,Application
MAT-0083,Aluminum,7075-T6,Bar,ASTM B221,Aluminum 7075-T6 Bar,862,312,31,400,159mm x 101mm,31,M,172.24,Carpenter Technology,Michael Garcia,WO-2024-8146,MR-2024-820,PR-2024-21530,RFQ-2024-6731,2025-05-17,2025-07-15,Active,H324320,MTC-62109,Yes,Yes,Structural
MAT-0084,Aluminum,7075-T6,Tube,ASTM B209,Aluminum 7075-T6 Tube,513,478,18,399,238mm x 59mm,29,M,469.03,Outokumpu,Amanda Brown,WO-2024-7249,MR-2024-196,PR-2024-27250,RFQ-2024-7628,2025-06-18,2025-07-02,Inspected,H996101,MTC-15883,No,Yes,Pressure Vessel
MAT-0085,Aluminum,7075-T6,Angle,ASTM B308,Aluminum 7075-T6 Angle,981,355,19,192,385mm x 178mm,68,KG,419.45,Acerinox,David Wilson,WO-2024-8073,MR-2024-387,PR-2024-83857,RFQ-2024-6702,2025-05-16,2025-06-08,On Site,H490940,MTC-62561,Yes,No,Heat Exchanger
MAT-0086,Aluminum,2024-T4,Plate,ASTM B221,Aluminum 2024-T4 Plate,707,600,33,254,69mm x 197mm,60,EA,109.05,Nucor Steel,Jennifer Davis,WO-2024-6673,MR-2024-356,PR-2024-83999,RFQ-2024-2802,2025-06-08,2025-08-05,Inspected,H814120,MTC-91144,No,No,Valve
MAT-0087,Aluminum,2024-T4,Sheet,ASTM B211,Aluminum 2024-T4 Sheet,827,435,20,269,373mm x 32mm,89,EA,66.36,Acerinox,Mike Chen,WO-2024-3174,MR-2024-384,PR-2024-56612,RFQ-2024-6168,2025-04-25,2025-06-11,Delivered,H665739,MTC-32251,No,No,Pressure Vessel
MAT-0088,Aluminum,2024-T4,Bar,ASTM B234,Aluminum 2024-T4 Bar,440,364,17,377,376mm x 38mm,82,EA,373.32,Nucor Steel,Robert Taylor,WO-2024-9861,MR-2024-279,PR-2024-56452,RFQ-2024-6847,2025-04-28,2025-05-20,Active,H272744,MTC-18251,No,No,Piping
MAT-0089,Aluminum,2024-T4,Tube,ASTM B211,Aluminum 2024-T4 Tube,921,523,24,158,420mm x 20mm,27,KG,451.06,ThyssenKrupp,Robert Taylor,WO-2024-4644,MR-2024-521,PR-2024-51744,RFQ-2024-5178,2025-06-22,2025-08-15,Inspected,H169208,MTC-52961,Yes,Yes,Structural
MAT-0090,Aluminum,2024-T4,Angle,ASTM B308,Aluminum 2024-T4 Angle,625,514,27,176,408mm x 392mm,71,EA,490.72,Carpenter Technology,David Wilson,WO-2024-3508,MR-2024-465,PR-2024-71995,RFQ-2024-7819,2025-06-01,2025-06-25,Inspected,H152962,MTC-78241,Yes,No,Piping
MAT-0091,Alloy Steel,4140,Bar,ASTM A514,Alloy Steel 4140 Bar,1033,620,22,210,430mm x 97mm,61,EA,250.8,Sandvik,Amanda Brown,WO-2024-8407,MR-2024-619,PR-2024-34867,RFQ-2024-6127,2025-05-03,2025-06-07,On Site,H371918,MTC-28687,No,Yes,Pressure Vessel
MAT-0092,Alloy Steel,4140,Plate,ASTM A29,Alloy Steel 4140 Plate,775,291,23,332,346mm x 398mm,81,FT,293.43,ThyssenKrupp,Michael Garcia,WO-2024-4727,MR-2024-825,PR-2024-75866,RFQ-2024-6671,2025-03-28,2025-04-24,On Site,H282186,MTC-17875,Yes,No,Heat Exchanger
MAT-0093,Alloy Steel,4140,Rod,ASTM A514,Alloy Steel 4140 Rod,959,447,26,320,275mm x 77mm,79,M,369.83,ThyssenKrupp,Michael Garcia,WO-2024-5631,MR-2024-235,PR-2024-20343,RFQ-2024-8866,2025-06-13,2025-07-28,Delivered,H246249,MTC-55489,No,No,Pressure Vessel
MAT-0094,Alloy Steel,4140,Tube,ASTM A320,Alloy Steel 4140 Tube,764,395,24,229,470mm x 263mm,81,KG,32.67,Aperam,Jennifer Davis,WO-2024-2119,MR-2024-894,PR-2024-13154,RFQ-2024-3358,2025-06-20,2025-07-11,Inspected,H600468,MTC-18730,Yes,Yes,Pressure Vessel
MAT-0095,Alloy Steel,4140,Sheet,ASTM A514,Alloy Steel 4140 Sheet,454,705,16,181,135mm x 201mm,93,MT,125.02,Allegheny Technologies,Jennifer Davis,WO-2024-2122,MR-2024-299,PR-2024-38402,RFQ-2024-3826,2025-06-11,2025-07-31,In Transit,H605577,MTC-86594,No,No,Structural
MAT-0096,Alloy Steel,4340,Bar,ASTM A29,Alloy Steel 4340 Bar,412,288,23,204,299mm x 31mm,38,EA,325.13,Sandvik,Sarah Johnson,WO-2024-1304,MR-2024-332,PR-2024-17521,RFQ-2024-4476,2025-05-08,2025-07-05,Inspected,H748050,MTC-27735,No,Yes,Pressure Vessel
MAT-0097,Alloy Steel,4340,Plate,ASTM A193,Alloy Steel 4340 Plate,871,711,34,362,252mm x 67mm,13,KG,192.88,Carpenter Technology,Mike Chen,WO-2024-9916,MR-2024-826,PR-2024-70098,RFQ-2024-9174,2025-04-24,2025-05-27,Delivered,H346130,MTC-17544,Yes,Yes,Piping
MAT-0098,Alloy Steel,4340,Rod,ASTM A182,Alloy Steel 4340 Rod,1053,518,28,324,233mm x 104mm,66,MT,269.27,Outokumpu,Robert Taylor,WO-2024-7792,MR-2024-498,PR-2024-46365,RFQ-2024-3782,2025-04-04,2025-04-29,Inspected,H666945,MTC-91707,Yes,No,Structural
MAT-0099,Alloy Steel,4340,Tube,ASTM A514,Alloy Steel 4340 Tube,679,707,29,250,232mm x 52mm,12,M,451.18,Sandvik,Amanda Brown,WO-2024-5314,MR-2024-971,PR-2024-95100,RFQ-2024-7075,2025-06-14,2025-07-22,On Site,H583694,MTC-96926,Yes,Yes,Heat Exchanger
MAT-0100,Alloy Steel,4340,Sheet,ASTM A182,Alloy Steel 4340 Sheet,996,754,28,241,411mm x 423mm,58,FT,47.14,Acerinox,Michael Garcia,WO-2024-8655,MR-2024-523,PR-2024-97758,RFQ-2024-6379,2025-05-10,2025-06-10,Active,H105781,MTC-18019,No,No,Heat Exchanger
MAT-0101,Alloy Steel,8620,Bar,ASTM A193,Alloy Steel 8620 Bar,508,482,25,150,73mm x 486mm,43,KG,137.78,ThyssenKrupp,Emily Martinez,WO-2024-8491,MR-2024-156,PR-2024-71087,RFQ-2024-5467,2025-05-14,2025-06-12,Active,H623775,MTC-80616,No,No,Valve
MAT-0102,Alloy Steel,8620,Plate,ASTM A29,Alloy Steel 8620 Plate,1135,361,31,218,109mm x 360mm,64,M,473.56,Sandvik,Michael Garcia,WO-2024-3877,MR-2024-920,PR-2024-16568,RFQ-2024-1716,2025-04-16,2025-05-20,In Transit,H841137,MTC-31546,Yes,Yes,Heat Exchanger
MAT-0103,Alloy Steel,8620,Rod,ASTM A514,Alloy Steel 8620 Rod,933,542,33,306,115mm x 316mm,7,MT,278.47,Nucor Steel,Emily Martinez,WO-2024-5728,MR-2024-804,PR-2024-14672,RFQ-2024-9741,2025-05-03,2025-06-07,In Transit,H780913,MTC-41033,Yes,Yes,Structural
MAT-0104,Alloy Steel,8620,Tube,ASTM A182,Alloy Steel 8620 Tube,669,590,25,318,328mm x 143mm,92,KG,298.75,Sandvik,Emily Martinez,WO-2024-7114,MR-2024-597,PR-2024-94289,RFQ-2024-4618,2025-04-02,2025-04-30,Inspected,H276947,MTC-57469,Yes,Yes,Valve
MAT-0105,Alloy Steel,8620,Sheet,ASTM A193,Alloy Steel 8620 Sheet,853,583,23,260,280mm x 177mm,57,KG,393.52,Special Metals,David Wilson,WO-2024-3957,MR-2024-607,PR-2024-87879,RFQ-2024-5020,2025-06-03,2025-07-11,In Transit,H253711,MTC-93306,No,No,Valve
MAT-0106,Alloy Steel,1045,Bar,ASTM A514,Alloy Steel 1045 Bar,1114,433,23,262,232mm x 163mm,96,M,108.48,Nucor Steel,David Wilson,WO-2024-2017,MR-2024-431,PR-2024-85824,RFQ-2024-3447,2025-05-15,2025-07-06,Active,H939744,MTC-46786,No,No,Pressure Vessel
MAT-0107,Alloy Steel,1045,Plate,ASTM A320,Alloy Steel 1045 Plate,727,672,24,160,91mm x 357mm,74,EA,174.81,ThyssenKrupp,Amanda Brown,WO-2024-6188,MR-2024-890,PR-2024-67340,RFQ-2024-4033,2025-05-11,2025-06-24,On Site,H223275,MTC-56008,No,No,Pressure Vessel
MAT-0108,Alloy Steel,1045,Rod,ASTM A29,Alloy Steel 1045 Rod,829,251,34,164,390mm x 476mm,22,KG,215.64,Aperam,John Smith,WO-2024-3624,MR-2024-635,PR-2024-84633,RFQ-2024-2823,2025-06-08,2025-06-22,Delivered,H936223,MTC-13469,No,No,Heat Exchanger
MAT-0109,Alloy Steel,1045,Tube,ASTM A514,Alloy Steel 1045 Tube,854,662,22,396,312mm x 292mm,2,EA,251.74,Outokumpu,Emily Martinez,WO-2024-5623,MR-2024-793,PR-2024-73237,RFQ-2024-2936,2025-04-26,2025-06-25,Active,H826161,MTC-81056,Yes,Yes,Piping
MAT-0110,Alloy Steel,1045,Sheet,ASTM A320,Alloy Steel 1045 Sheet,1002,710,21,396,194mm x 421mm,55,M,199.83,Nucor Steel,Emily Martinez,WO-2024-5477,MR-2024-292,PR-2024-39378,RFQ-2024-3631,2025-04-13,2025-05-24,Inspected,H705858,MTC-47117,Yes,No,Piping
MAT-0111,Alloy Steel,1018,Bar,ASTM A182,Alloy Steel 1018 Bar,969,576,34,291,203mm x 213mm,82,FT,171.25,Special Metals,Amanda Brown,WO-2024-6910,MR-2024-464,PR-2024-30307,RFQ-2024-4565,2025-06-14,2025-07-12,Delivered,H983527,MTC-82769,No,Yes,Heat Exchanger
MAT-0112,Alloy Steel,1018,Plate,ASTM A29,Alloy Steel 1018 Plate,432,738,24,355,375mm x 18mm,6,KG,411.35,Carpenter Technology,David Wilson,WO-2024-4189,MR-2024-165,PR-2024-94656,RFQ-2024-7543,2025-05-10,2025-06-07,Active,H812915,MTC-74706,Yes,No,Piping
MAT-0113,Alloy Steel,1018,Rod,ASTM A182,Alloy Steel 1018 Rod,458,698,23,161,122mm x 38mm,65,MT,296.16,VDM Metals,Michael Garcia,WO-2024-1423,MR-2024-210,PR-2024-42315,RFQ-2024-9635,2025-05-01,2025-06-02,In Transit,H209521,MTC-58343,No,No,Valve
MAT-0114,Alloy Steel,1018,Tube,ASTM A193,Alloy Steel 1018 Tube,1084,722,25,227,77mm x 405mm,70,FT,56.1,Special Metals,Amanda Brown,WO-2024-6228,MR-2024-864,PR-2024-86499,RFQ-2024-2572,2025-04-03,2025-05-09,Active,H179959,MTC-13722,Yes,No,Pressure Vessel
MAT-0115,Alloy Steel,1018,Sheet,ASTM A29,Alloy Steel 1018 Sheet,1066,691,29,293,415mm x 293mm,53,M,105.06,Acerinox,Sarah Johnson,WO-2024-4170,MR-2024-757,PR-2024-53705,RFQ-2024-4394,2025-05-26,2025-07-06,Delivered,H703915,MTC-99119,No,No,Structural
MAT-0116,Specialty Alloys,Inconel 625,Pipe,ASTM A240,Specialty Alloys Inconel 625 Pipe,590,427,29,162,404mm x 250mm,22,EA,331.19,Outokumpu,Lisa Rodriguez,WO-2024-2772,MR-2024-648,PR-2024-63541,RFQ-2024-7476,2025-03-31,2025-05-11,Delivered,H500824,MTC-21360,Yes,Yes,Heat Exchanger
MAT-0117,Specialty Alloys,Inconel 625,Plate,ASTM A240,Specialty Alloys Inconel 625 Plate,596,672,25,236,125mm x 194mm,54,KG,63.12,Nucor Steel,Mike Chen,WO-2024-4137,MR-2024-273,PR-2024-73948,RFQ-2024-9357,2025-05-11,2025-06-07,In Transit,H223119,MTC-39553,Yes,Yes,Valve
MAT-0118,Specialty Alloys,Inconel 625,Bar,ASTM A240,Specialty Alloys Inconel 625 Bar,446,598,34,368,222mm x 283mm,70,FT,465.88,VDM Metals,Lisa Rodriguez,WO-2024-5532,MR-2024-877,PR-2024-82179,RFQ-2024-9080,2025-05-31,2025-06-19,In Transit,H832335,MTC-40103,No,No,Pressure Vessel
MAT-0119,Specialty Alloys,Inconel 625,Sheet,ASTM A240,Specialty Alloys Inconel 625 Sheet,643,750,19,238,169mm x 176mm,84,EA,205.71,Carpenter Technology,Robert Taylor,WO-2024-5987,MR-2024-482,PR-2024-21050,RFQ-2024-9793,2025-06-07,2025-06-24,On Site,H329660,MTC-66322,No,No,Piping
MAT-0120,Specialty Alloys,Inconel 625,Fitting,ASTM B127,Specialty Alloys Inconel 625 Fitting,613,441,27,242,103mm x 108mm,90,MT,89.7,Special Metals,Emily Martinez,WO-2024-5570,MR-2024-148,PR-2024-91791,RFQ-2024-9283,2025-06-18,2025-08-17,Inspected,H877977,MTC-31071,Yes,Yes,Piping
MAT-0121,Specialty Alloys,Hastelloy C276,Pipe,ASTM A240,Specialty Alloys Hastelloy C276 Pipe,744,404,27,226,280mm x 492mm,20,KG,181.57,Special Metals,Sarah Johnson,WO-2024-9926,MR-2024-644,PR-2024-75985,RFQ-2024-1495,2025-04-11,2025-06-07,On Site,H391721,MTC-55643,Yes,No,Piping
MAT-0122,Specialty Alloys,Hastelloy C276,Plate,ASTM B127,Specialty Alloys Hastelloy C276 Plate,743,531,21,294,173mm x 221mm,32,EA,21.52,Special Metals,David Wilson,WO-2024-5827,MR-2024-789,PR-2024-97737,RFQ-2024-4171,2025-06-06,2025-07-13,On Site,H371364,MTC-52429,Yes,No,Heat Exchanger
MAT-0123,Specialty Alloys,Hastelloy C276,Bar,ASTM B127,Specialty Alloys Hastelloy C276 Bar,650,420,28,332,60mm x 152mm,74,MT,242.86,Allegheny Technologies,John Smith,WO-2024-2530,MR-2024-890,PR-2024-11985,RFQ-2024-5436,2025-05-27,2025-06-24,Active,H511926,MTC-35728,Yes,Yes,Valve
MAT-0124,Specialty Alloys,Hastelloy C276,Sheet,ASTM B637,Specialty Alloys Hastelloy C276 Sheet,876,574,27,172,398mm x 428mm,40,EA,487.81,Nucor Steel,Robert Taylor,WO-2024-2413,MR-2024-173,PR-2024-95778,RFQ-2024-2245,2025-04-27,2025-05-27,On Site,H544081,MTC-62089,Yes,No,Piping
MAT-0125,Specialty Alloys,Hastelloy C276,Fitting,ASTM B575,Specialty Alloys Hastelloy C276 Fitting,480,273,34,209,112mm x 184mm,93,FT,165.58,Nucor Steel,Sarah Johnson,WO-2024-9215,MR-2024-550,PR-2024-67075,RFQ-2024-9969,2025-04-27,2025-06-11,Active,H959157,MTC-91734,Yes,Yes,Heat Exchanger
MAT-0126,Specialty Alloys,Monel 400,Pipe,ASTM A240,Specialty Alloys Monel 400 Pipe,947,524,34,346,217mm x 58mm,74,KG,383.39,Allegheny Technologies,Robert Taylor,WO-2024-3604,MR-2024-808,PR-2024-91396,RFQ-2024-3415,2025-05-05,2025-07-03,Inspected,H458187,MTC-97644,No,No,Heat Exchanger
MAT-0127,Specialty Alloys,Monel 400,Plate,ASTM B443,Specialty Alloys Monel 400 Plate,561,764,35,375,441mm x 316mm,52,M,154.95,Nucor Steel,Lisa Rodriguez,WO-2024-2411,MR-2024-233,PR-2024-46185,RFQ-2024-2191,2025-06-21,2025-07-20,Delivered,H635280,MTC-83512,Yes,No,Heat Exchanger
MAT-0128,Specialty Alloys,Monel 400,Bar,ASTM B443,Specialty Alloys Monel 400 Bar,819,799,16,216,493mm x 136mm,26,EA,440.64,Allegheny Technologies,Mike Chen,WO-2024-7937,MR-2024-531,PR-2024-13446,RFQ-2024-3721,2025-04-28,2025-05-24,On Site,H199965,MTC-74819,No,No,Pressure Vessel
MAT-0129,Specialty Alloys,Monel 400,Sheet,ASTM B575,Specialty Alloys Monel 400 Sheet,878,484,20,317,295mm x 190mm,85,FT,302.87,Special Metals,John Smith,WO-2024-8389,MR-2024-264,PR-2024-71349,RFQ-2024-5773,2025-03-31,2025-05-27,Inspected,H302118,MTC-22432,Yes,Yes,Valve
MAT-0130,Specialty Alloys,Monel 400,Fitting,ASTM B443,Specialty Alloys Monel 400 Fitting,1189,703,20,287,463mm x 27mm,78,MT,341.58,ThyssenKrupp,Jennifer Davis,WO-2024-6172,MR-2024-637,PR-2024-61750,RFQ-2024-7790,2025-05-31,2025-06-22,Active,H106297,MTC-79352,Yes,No,Valve
MAT-0131,Specialty Alloys,Inconel 718,Pipe,ASTM B637,Specialty Alloys Inconel 718 Pipe,463,436,31,282,447mm x 299mm,1,FT,258.4,Nucor Steel,John Smith,WO-2024-9973,MR-2024-149,PR-2024-87919,RFQ-2024-1649,2025-04-09,2025-04-28,Inspected,H105033,MTC-57814,Yes,No,Valve
MAT-0132,Specialty Alloys,Inconel 718,Plate,ASTM B127,Specialty Alloys Inconel 718 Plate,430,443,30,201,473mm x 291mm,78,MT,72.43,Aperam,Lisa Rodriguez,WO-2024-3028,MR-2024-148,PR-2024-47744,RFQ-2024-1018,2025-06-23,2025-07-14,Delivered,H427886,MTC-71194,Yes,Yes,Pressure Vessel
MAT-0133,Specialty Alloys,Inconel 718,Bar,ASTM B637,Specialty Alloys Inconel 718 Bar,510,689,20,238,266mm x 376mm,89,KG,40.2,Acerinox,Amanda Brown,WO-2024-9484,MR-2024-121,PR-2024-14138,RFQ-2024-4030,2025-04-15,2025-05-21,Active,H930901,MTC-31127,Yes,No,Pressure Vessel
MAT-0134,Specialty Alloys,Inconel 718,Sheet,ASTM B637,Specialty Alloys Inconel 718 Sheet,494,318,21,201,95mm x 409mm,72,EA,229.74,ThyssenKrupp,Sarah Johnson,WO-2024-5259,MR-2024-171,PR-2024-51562,RFQ-2024-8353,2025-06-17,2025-07-22,Delivered,H634940,MTC-68388,No,Yes,Pressure Vessel
MAT-0135,Specialty Alloys,Inconel 718,Fitting,ASTM A240,Specialty Alloys Inconel 718 Fitting,997,787,30,183,301mm x 398mm,30,MT,338.73,Aperam,Emily Martinez,WO-2024-8958,MR-2024-371,PR-2024-86866,RFQ-2024-6508,2025-04-08,2025-05-31,Active,H101641,MTC-99245,No,No,Valve
MAT-0136,Specialty Alloys,Duplex 2205,Pipe,ASTM B127,Specialty Alloys Duplex 2205 Pipe,563,731,25,355,465mm x 11mm,34,MT,199.67,Sandvik,John Smith,WO-2024-1865,MR-2024-694,PR-2024-73847,RFQ-2024-2227,2025-04-19,2025-05-09,Delivered,H818281,MTC-28318,Yes,No,Heat Exchanger
MAT-0137,Specialty Alloys,Duplex 2205,Plate,ASTM B127,Specialty Alloys Duplex 2205 Plate,542,408,30,276,150mm x 379mm,54,KG,37.73,Outokumpu,John Smith,WO-2024-6634,MR-2024-383,PR-2024-30146,RFQ-2024-5357,2025-04-27,2025-05-25,Active,H230256,MTC-74692,Yes,Yes,Heat Exchanger
MAT-0138,Specialty Alloys,Duplex 2205,Bar,ASTM B127,Specialty Alloys Duplex 2205 Bar,963,769,23,330,443mm x 208mm,77,M,88.05,Outokumpu,David Wilson,WO-2024-8773,MR-2024-581,PR-2024-10323,RFQ-2024-6107,2025-05-20,2025-06-30,On Site,H278776,MTC-14469,No,Yes,Pressure Vessel
MAT-0139,Specialty Alloys,Duplex 2205,Sheet,ASTM B575,Specialty Alloys Duplex 2205 Sheet,1181,671,24,327,138mm x 332mm,61,MT,332.24,Allegheny Technologies,Sarah Johnson,WO-2024-2774,MR-2024-312,PR-2024-26894,RFQ-2024-4840,2025-05-19,2025-06-24,Delivered,H798585,MTC-65437,No,No,Valve
MAT-0140,Specialty Alloys,Duplex 2205,Fitting,ASTM B575,Specialty Alloys Duplex 2205 Fitting,616,408,35,273,23mm x 422mm,65,M,291.2,Carpenter Technology,Jennifer Davis,WO-2024-6319,MR-2024-743,PR-2024-90169,RFQ-2024-1542,2025-04-20,2025-05-05,Delivered,H980965,MTC-15085,Yes,Yes,Heat Exchanger
